,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,sentence
31,31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",say back old old bitch excite
32,32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,be not bout murder game pussy nigga shut
33,33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,toe ain pussy stink
34,34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,bitter bitch wrap angry bird there s app
35,35,3,0,3,0,1,""" is that ya bitch """,bitch
36,36,3,0,3,0,1,""" it aint nothing to cut a bitch off """,be not nothing cut bitch off
37,37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son mane ass bitch shot
38,38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,lame cry over hoe that s tear clown
39,39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,snoop do not love these hoe
40,40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,momma pussy cat inside doghouse
41,41,3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hate hoe favorite sevenone http bmdsvmc
42,42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girl bad naughty bad yello hoe real nice body down south chick real thick http bzrdl
43,43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe down voice
44,44,3,0,3,0,1,""" post a picture of that pussy get 200 likes """,post picture pussy like
45,45,3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy powerful drug happyhumpday http jsymib
46,46,3,0,3,0,1,""" quick piece of pussy call it a drive by """,quick piece pussy call drive
47,47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,run round brand new pussy that s bout fuck
48,48,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,these bitch bad send guy
49,49,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,these hoe niggas spend money talk bout
50,50,3,1,2,0,1,""" we dont trust these niggas all these bitches """,do not trust these niggas these bitch
51,51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,you all niggas cuff hoe cause you all be not bitch
52,52,3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",dodge bullet darealkha bitch cut off pregnant bind thank god
53,53,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,young pill chamberlain these bitch love music
54,54,3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",vandalsavage teanna trump clean these twitter hoe
55,55,3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",dahomiefuzz gay niggas couldn wait act bitch tonight
56,56,3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",paradox i m a steal cat replace pitbull sbaby life paradox bitch
57,57,3,0,3,0,1,"""&amp; he's gone always be a hoe""",amp go hoe
58,58,3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch take tic tac movie
59,59,3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wanna money fuck model bitch russell simmon
60,60,3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",seniorprobs wouldn mind school didn deal bitch ass teacher retweet
61,61,3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said""",xdemery fucking fag
62,62,3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",arizzleindacut female think date pussy cute http vxbjg gsz stuff pussy
63,63,3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",addict guy simplyaddictedtoguy http zmf woof woof hot scally lad
64,64,3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",adorebellaaa ask bitch bitch kanye voice
65,65,3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",adorezoey go bring side bitch game friend swear
66,66,3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",allaboutmanfeet http gzupfumev woof woof hot sol
67,67,3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",allyhaaaaa lemmie eat oreo amp these dish oreo lol
68,68,3,0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",almightywayne jetsandaswisher gook bitch fuck http pxmga well http tprevwfq
69,69,3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",almightywayne fuck red malone man bitch ass niggah please complete sentence
70,70,3,0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",arizonasfin eggplant emoji doe say look scream lmao
71,71,3,0,3,0,1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",autoworid hennessey venom http egmnkaj sexy bitch
72,72,3,0,3,0,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",bossbytchh seh pussy wetter shower curtain ahmesehwetness lmao
73,73,3,0,3,0,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",bro hen eaglesnation eagle pic post bitch racist shit
74,74,3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",bvsedchink fuck skateboard wood push faggot man ball life http vbczp hmt amjemiebenn
75,75,3,0,1,2,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",babyanimalpic baby monkey bathtime http kpwadlf awwwwe soooo adorable
76,76,3,0,3,0,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",baylaagottabody ain shit damn skippy lol
77,77,3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",beeasyjrizzy kill ant sidewalk think damn nigga way pussy must chance
78,78,3,0,3,0,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",beenbasedb kudabrazyy http luubgl ring mvps bitch lol
79,79,3,1,2,0,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",beenflynsolo ppl talk bad ghetto hood kid grow nigga funnnnnnn
80,80,9,0,7,2,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",bestproadvice fact tattoo tattoo http zwnbhpdz pussy tattoo nipple
81,81,3,0,3,0,1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",bill nel ayden bitch want act niggas bad shit be not cuteeeee niggas act bitch
82,82,3,0,3,0,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",bitchjone worship bitch http cejcjou woof woof
83,83,3,1,2,0,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",blackchiquitita wow thatmanpalmer lose buttcheek piercing http guyouq yeah hoe
84,84,3,0,3,0,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",blacknerdjade sis break bitch shrug tell work
85,85,3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",blackman tide whalelookyhere howdydowdy queer gaywad
86,87,3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",brokenpiecesmsc itsnotadam faggot read tweets dat wasn funny lol
87,88,3,0,3,0,1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",brosconfession bitch ungrateful http bgwbx lulwhore
88,89,3,0,3,0,1,"""@CASHandBOOBIES: I been kidnapped yo bitch""",cashandboobie kidnap bitch
89,90,3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",baby white thunduh alsarabsss he s beaner smh tell he s mexican
90,91,3,1,2,0,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",ccobey aydanmccoy happy birthday nigs thank
91,92,6,1,5,0,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",chlldhoodruiner teacher tell homework https rkk vawij bitch
92,93,3,1,2,0,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",caelang edham caelang nigga eat hoe lol hell yea lol john paul nigga john paul http osipbkpr
93,94,3,0,3,0,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",canifuckornah lil ugly bald headed bitch stop make amp weave
94,95,3,1,2,0,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",carelessone leafs well win damn game riot shit earlychristmas well start loot nig
95,96,3,0,3,0,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",causewereguy back school suck dick hoe attend
96,97,3,0,3,0,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",causewereguy way fuck bitch http old
97,98,3,0,3,0,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",celeynichole white thunduh bring food do not car retard
98,99,3,0,3,0,1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",chadmfverbeck richnow doesn show hella tinder hoe friend anymore chill bring prople
99,100,3,1,2,0,1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",chandlerparson bout cowboy shutup pussy
100,101,3,0,3,0,1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",clicquotsuave lmaooooooooooo nigga krillz nuh care http aanpsujmyi bitch want like depress shit foh
101,102,3,0,3,0,1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",coley cee lil aerii girl spit shit amp lbvs bitch plz
102,103,3,0,3,0,1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",coley cee let couple tweet off cuzzo page win twitter jail lmao bitch don trick
103,104,3,0,2,1,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",comedypost harlem shake excuse full retard
104,105,3,0,3,0,1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",comedytruth amen miley http tfyxr okay don act hoe emotionally damage foh
105,106,3,0,3,0,1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",corybandz have loyal female wayyyyy well have hoe idc
106,107,3,0,3,0,1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",crhedrys pussy lick pussy meow meow stopwhitepeople https keegdcj
107,108,3,0,3,0,1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",dbab holloway check man cowboysnation faggot fan stand
108,109,3,0,3,0,1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",dgotbrick happen vixen ent bitch run throw side foothill bitch
109,110,3,0,3,0,1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",daedavidavie white thunduh bitch okay nude pat wow
110,111,3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",devilgrimz vigxrarts fucking gay blacklist hoe hold tehgodclan anyway http xuccwoetmn
111,112,3,0,3,0,1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",diamondloudkush fuck wrong these bitch nobody know
112,113,3,0,3,0,1,"""@Dietrich1892: Yall shut up:p"" make me bitch",dietrich you all shut bitch
113,114,3,1,2,0,1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",dionairish hate pregnant type bitch
114,115,3,0,3,0,1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",doyou bitch don read top
115,116,3,0,0,3,2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",domworldpeace baseball season win yankees love start
116,117,3,0,3,0,1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",dommoneek little stupid bitch don fuck yoooooouuuu
117,118,3,0,3,0,1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",dreadheadari ask dead ass serious tho say bitch wheet lol
118,119,3,0,0,3,2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",dunderbail bird owl wise worm
119,120,3,0,1,2,2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",edgarpixar overdose heavy drug doesn sound bad tonight pussy shit
120,121,3,0,0,3,2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",grillo pit bull photograph lovely fairy tale creatures http oolh fairy tale creature
121,122,3,0,3,0,1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",ferocious ghost stname bravo fag don tweet lol
122,123,3,0,0,3,2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",flokid laker trash careless real benballer hahaha
123,124,3,0,3,0,1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",frosstyy rheyd didn say tho kiss faggot
124,125,3,0,0,3,2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut http zuai qwbir yup
125,126,3,0,3,0,1,"""@G27Status: I could go for a fat ass bitch on my lap"" same",status fat ass bitch lap same
126,127,3,0,3,0,1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",gedmelle miss call das bitch twitter finna screamn freemoneymelle
127,128,6,0,6,0,1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",gtm side bitch get to rule shit anybody ask cousin jersey thinkin bout move lmmfao
128,129,3,0,3,0,1,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",gagatom malefoot amo los pie http hdkk fuck yeah
129,130,3,0,3,0,1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",girlthatsvonte these hoe think meat win slap ass ainna bruh
130,131,3,0,3,0,1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",girlthatsvonte you all bitch wit edge talk
131,132,3,0,3,0,1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",girlthatsvonte you all trick treat nah hell yeah i m a sweet tooth bandit steal bitch bag shit
132,133,3,0,3,0,1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",girllssue wanna sex mom fuck right pussy come damn hack fuck
133,134,6,0,6,0,1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",gizzy jones kiss eye open watch bitch lmfao
134,135,3,0,3,0,1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",goofstroop woulda coulda shoulda ass hoe
135,136,3,0,3,0,1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",gotti ltf happy bday bitch ass nigga jetsandaswisher preciate bitch roll
136,137,3,0,3,0,1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",hbmostdope jayee pipinhoe send bitch
137,138,6,0,6,0,1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",hbmostdope ugly bitch own wcw duh bitch ain nobody else
138,139,3,1,2,0,1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",halotgmg stname bravo nigga hacky sack hoe nah throw look pass lmao
139,141,3,1,2,0,1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",heartlessfuck glad outta atlanta nothing bunch niggas amp outta jail amp dumb bitch mad kid fuckin
140,142,3,0,1,2,2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",hermosaalma isn ghetto smart https mpazq jswf idc
141,143,3,0,2,1,1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",hiimjorib wife hoe cuz wouldn care cheat force relationship first place
142,144,3,0,3,0,1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",hornyfact single isn excuse hoe theonemis luu
143,145,3,1,2,0,1,"""@HoskinsTy96: White boy power bitch"" black power bitch",hoskinsty white boy power bitch black power bitch
144,146,3,0,3,0,1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",hudgens let drunk blow spit shit spark blunt amp fuck hoe bro white dude chill
145,147,3,0,3,0,1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",iscoutgirl verbally abrupt bitch world back
146,148,3,0,3,0,1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",itsyahboiray anelylove don dick suck party bad bitch gone set off anelylove
147,149,3,0,2,1,1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",itsyesie oomf soooo cute hoe lot
148,150,3,0,3,0,1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",jayten cartoon theirs alway nuffsaid save these hoe lmao http ukd wtz lmao damn captain saveahoe
149,151,3,0,1,2,2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",jreebo want nose these bad bois scally chav sockfetish stink http feqxgn hot sox leg
150,152,3,0,3,0,1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",jamesynba wish bitch brother keezy ooooow bet
151,153,6,0,6,0,1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",jasminepore dress cat halloween basic pussy
152,154,4,0,4,0,1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",jewelxo pornhub gaming stream feature these dumb bitch gtfo pornhub katie
153,155,3,0,3,0,1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",joebudden stop scared choke sex bitch ass niggas guy hit woman bed foh
154,156,3,0,3,0,1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",johnny perez white thunduh well iguess hoe loyal bro they ll loyal hoe nig
155,157,6,0,6,0,1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",kazatta takehov man off molly fuck seed fix
156,158,3,0,3,0,1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",kelsiebelsi man refer girl bitch
157,159,3,0,3,0,1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",keyshawnswag lmfao cat start beat shit nigga finally pussy nigga
158,160,3,0,1,2,2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",keyshawnswag peel peel bring back rewind back move shaq line ooooow trash
159,161,3,0,2,1,1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",kingcuh stanleys alu record vine sai hahahaha lol anywaaaaaay haha
160,162,3,0,3,0,1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",kinghendo vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah wait hoe mayne
161,163,3,0,3,0,1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",kingteej dirty foot ass bitch funny
162,164,3,0,3,0,1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",king shawn white thunduh yellow flag amazing hell yeah niggy
163,165,3,0,3,0,1,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",kissmysmilee don bitch actin iffy
164,166,3,0,0,3,2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",knightfanneal ucfpinkparty stay alive knight nation bird special comeatmeut
165,167,3,0,2,1,1,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",kyranadiya these hoe ain loyal ain http ubsvbkgl smfh amp wonder nobody decent want
166,168,3,0,3,0,1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",lcistj bruh stud think soft hell ask girl many scream bitch okay stfu bye hoe
167,169,3,0,3,0,1,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",lodycash dry pussy bitch blame condom
168,170,3,0,3,0,1,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",lunarap shut bitch ass https iemn
169,171,3,0,3,0,1,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",laflaregodjosh gucci mane jail drop mixtape hoes text back
